,review
239,this the best new way play pokémon game not for little kids anymore and the content solid needs some more enhancements and more pokémon but all all perfect game 
240,this game awesome look forward nintendo pushing new design for pokémon and excited see the future pokémon games based 
241,this the type pokemon game been waiting for for decades love the open world and getting see and interact with pokemon such fluid way love that the pokedex goes beyond obtain complete but includes much more than just catching one pokemon and satisfying complete tasks and explore the game percect definitely not but absolutely step the right direction and hope the pokemon crew take this success and runs with please continue build improve upon this type open world game and don let one off with little more artistic polish and depth story would amazing game 
242,what you imagine pokemon should like you watched the show its amazing game with much catch and makes you really want catch them all 
243,loving there never boring moment there tons stuff the act throwing the ball the pokémon and the target system lot fun crafting the things you need poke balls potions etc was great idea for this game 
244,fantastic game the future the franchise never before pokémon world has been alive neither the mediocre anime adaptation the graphics without doubt can grow exponentially next chapter and could step from incredible game proper masterpiece great hope for the future 
245,legends arceus easily the most fun had with pokémon game very long time this the game that makes optimistic for the future pokémon 
246,this amazing this one the best pokimon games 
247,haven had this much fun pokémon since the original ruby sapphire emerald 
248,don want write big review but this one favourite games ever yeah doesn have the best graphics but pokemon fan honestly won care all its for could play all day just want play just find any flaws then for but you played for quite bit you know its sick game and really enjoyable 
249,the new mechanics are very fun and very welcomed after years the same formula 
250,this one the best pokémon games played years the story amazing the new features are pleasant and the twist the end where volo was evil and wanted the plates summon arceus himself came way out left field and didn expect all actually felt betrayed when showed his true colors the goal the game simple catch all the pokémon and the first person complete the first pokédex the hisui region finally the final boss fight against arceus amazing his patterns are difficult learn and when you beat him you get him added your pasture and not only that but they finally gave arceus the power the legendary plate which finally allows arceus every type once game can wait for the next generation pokémon and what game freak and the pokémon company will have for the future 
251,absolutely love this game fantastic evolution the series have been looking for encapsulates most things that makes pokémon special call these things the elements discovery growth and adventure seeing pokémon fully realised space makes the experience more seamless while the flow made the quality life changes makes everything instantaneous absolutely fantastic see game freak challenge the player and make pokémon genuinely threatening both your pokémon and the player the gameplay loop flows well keeps myself continuing engaged testament its accessibility and gameplay design this game has its flaws but easy overlook when more excited about pokémon than have been years see the possibilities where the series could would love see trainer battles and more civilisation realised future entries particularly with battles would give further reason strategise developing your team especially with grand scale such tall mountain like the battle with red pokémon silver and gold 
252,absolutely the most beautiful and involving pokémon game have played lot time the change was for good 
253,really enjoying this game quite the unique take the pokémon series 
254,this game like crack best pokemon game years much fun graphics aren the best but really isn bad handheld mode and the gameplay makes for any shortcomings 
255,great fresh addition the series some performance and graphical issues but overall hope see more entries with this format 
256,amazing game like ninja isekai pokémon breath the wild love child super addictive and fun 
257,finally the game have waiting many years freedom tangible pokemon much more dynamic battles story that not bad all and many hours fun which reminds the illusion first pokemon even there are still people who believe that game only its graphics invite them sell their nintendo switch and buy another console because they are wrong 
258,best pokemon game long time the are minor issues with the textures and frame rate but still amazing game 
259,best pokemon experience would say previous games have been tedious and too easy and easy games mean fun this game significantly more challenging and very enjoy the pokemon are more vivid and for the first time have the desire fill the pokedex instead finishing the main story soon possible although the graphic not the best especially water would say this game great leap and truly have blast 
260,amazing game this the way gamefreak should follow for the next pokemon games just improving and polishing graphics 
261,game awesome first hours might feel bit slow but after that really fun also the history the best the pokemon series even better than opinion the music fantastic too and the graphics might feel bit sharp the beginning but you progress the game feels much more smooth especially handheld mode 
262,pls more just take more time for fixing bugs and better graphics 
263,well normally wouldn give this game but but because there are many morrons here which give the game will give giving this game just even just objectivly not true even you dislike the game now where start with this game personally absolutly adore have over hours right now put into and think the best pokemon game since black white personally was never fan the pokemon games until legends arceus came out now want address the biggest issue people have first the graphics the graphics are sided coin this game you look the game mode looks terrible simply terrible the performance mode also terrible often feels like fps game but you look this game handheld mode can actually look really pretty some parts you have the game already just compare run through jubilife village between the mode and the handheld mode you will notice that the handheld mode runs extremly well and looks really good some areas but you will also notice that the mode the opposite that would advise anyone play this game only handheld mode personally can only say that this game because only played handheld mode have judge the game mode would that how big the difference even despite acknowledging the bad graphics mode still think lot reviews here are extremly unfair towards the game calling gamefreak lazy terrible this case not true pokemon legends arceus was clearly passion project for gamefreak you can see lot details they put the game especially jubilife village that probably the best pokemon village town had since the games went there are many small details put into jubilife village insane for spoiler reasons will not mention any will just say this game was clearly passion project for gamefreak and even with flaws like the terrible mode you can clearly see that they tried this time with the game honestly want this the main take away from anyone who reads this review the game awesome you play handheld game but you play homeconsole game mediocre best honestly would wish that gamefreak just disabled the mode for this game and made handheld only yes people would still angry about that but think would have way less people complaining about the graphics gamefreak was just honest with their terrible mode also sadly just shows how the switch itself makes hard judge games like said give this game because morrons put negative reviews out which are way negative for such wellpolished handheld game the other hand can understand those reviews they only played mode like said would personally give this game handheld game but homeconsole game the area also shows the duality the switch itself the console itself great but there are always set backs which drag down can clearly see with other switch games too for example breath the wild can sometimes have bad performance you play mode but handheld mode completly fine now didn really talk about gameplay story anything like that because think quite clear that enjoyed the gameplay itself would give this game about the story really liked some the characters they are not great but entertaining enough the story itself good but not great more less just excuse send you running through the world general this game extremly gameplay focused and really don want say anything about that because there are lot surprises here not comparable previous pokemon games that much clear but opinion gamefreak should continue going the legends direction the next legends game not the switch more powerful switch might even get game with working handheld and mode gonna add one thing here people who give this game are objectivly wrong even the graphics were terrible everyone said which they are only for mode and even than could way worse this game objectivly not zero morrons like that should honestly stop playing pokemon general why because disencouraging gamefreak now with bad review scores really not the thing need now don say just blindly applaud them but people continue hate this game will just get the same old terrible pokemon formula again 
264,best pokemon game ever great interaction with pokemon nice game play and decent story and sub quests hope that game freak keeps this direction develop new pokemon game really enjoy 
265,this was exciting new leap and formula for pokemon have played every game from since red and blue from the the very beginning this game took much fan base complaints and molded this game into something fresh and exhilarating the graphics are something that can always improved upon but are dealing with the year old console switch graphical capabilities there are occasional glitches but they are few far between and doesn affect the playability can this series improve course but the game addicting spent almost hours just the first section exploring catching this game beautiful and makes want complete everything something the other previous games made boring 
266,the game masterpiece terms evolving the now previous pokemon formula the first chance and game freak has nailed every manner the game play immersive fun and addictive fully fledged into open world format that feels very refined and fresh and can taken very close what fans have always wanted the soundtrack one the best osts pokemon has ever received the graphics lack but means bad even grand many places the game nails every manner put forth and been completely blown away the quality may very well the pokemon fan dream game well the best pokemon videogame date 
267,the best mainline release the franchise hands down couldn have asked for more pokemon game since was kid this what envision the series looking like going forward absolutely awesome game thank you game freak this great base build please 
268,pokemon legends arceus was something get hyped right from the start when they teased the massive openworld makes this game really interesting discover more and more with the ability control the camera angle was great from sword and shield wild area but this game are free use this feature everywhere well the battles and while talking npcs some case really enjoy playing this game and spending hours and hours catching all really appriciate their effort this game now looking forward gamefreak next project 
269,played every single pokémon game for the last years pokémon favorite franchise all time not one these trolls the internet who like shout extra loud about how bad pokémon game when they aren actually fans the series you won see waking extra early and logging online scream bad opinions the void about video games that don interest not out here critiquing first person shooters cause have place doing because don enjoy them plain and simple the people online with the extra harsh criticism this game are exactly that trust you are real pokémon fan this game everything never had more fun playing pokémon game ever well won count gold and silver that pure nostalgia this game has excited for the future the series glimpse into soooo much potential and just such pure good time the franchise notorious for taking very small steps forward time this was giant leap game freak have never takin this much jump forward and exciting the story actually interesting and find myself really taking time not rush through which frank haven found myself super enthralled pokémon games story very long time breath fresh air and fun new way play the game isn focused the same aspect are used you have remember that the focus exploring and research not gym badges and elite and very good what intended for hours and still only half way through the main story have been letting myself get lost and immersed the world there much complete that know easily take almost 200 hours everything going each new area always exciting and discovering pokémon their habitats never gets old you find yourself excited see pokémon you seen million times other games they put lot time into each pokémon having their own personalities and animations they feel more alive than ever challenging well you not prepared before venturing out you can find yourself getting attacked gang pokémon and blacking out real fast never been able experience such realistic feel pokémon the wild amazing could and and honestly just buy and get excited for what hopefully just glimpse into what come for the pokémon series 
270,new fresh bold improvement everything this lovable rpg lovers beautiful open world fresh way battling and evolve pokemon just love best pokemon game ever living the lore 
271,great gameplay and battle mechanics changes hoping that this the direction pokemon going great job game freak 
272,perfect the game that wanted since play first pokemon game pokemon ruby 
273,should have given points even not perfect still willing give encouraging point very close the pokemon world imagined when was child but ten years late unfortunately can only take time play this game occasionally this busy age can maintain this level the future will like buy pokemon games for children 
274,the best and most refreshing pokemon game release very long time good makes going back the other pokemon games seem chore which fine with could use more content course but with that said definitely chance they took but with huge win 
275,this game deserves just for the volo fight alone but also comes with entire video game 
276,this salute all seasoned pokemon players that can still enjoyed new ones the story was great not stellar but that not the centre this game and sure the graphics could better but essentially playing tablet with thumbsticks what really shone this game was gameplay the controls and the feeling catching are natural that you can for hours and still not bored hope can expect more legends games the future this has been most enjoyed pokemon experience since the original dpp games 
277,the best most innovative pokémon game ever made almost the exact game was imagine when first started play pokémon kid great step for change the old formula for something new 
278,was intially sceptical the recent remakes and sword shield were bad but after some friend recomendation gave shot turns out this one the great one this game itself just good gold silver was back the day initially give but the more played the more liked this there plenty content this one and they adding new quests updates and yes some the terrain graphics are bad but the game fun doesn matter that much 
279,overall thoroughly enjoying pokémon legends arceus about hours and haven wanted stop playing like any pokémon game the first hour basically the tutorial little slow but that allow players all ages learn the mechanics the game others have said visually the game little lackluster looks like what would expect launch title for the switch look like graphics aside the game breath fresh air for the series opinion enjoying exploring the world learning the mechanics and doing everything there the game definitely taking time with the game and enjoying every minute read the reviews and think lot the ratings are trolls who watched the trailer and didn like the direction the game has taken please don listen the trolls but also don take the perfect scores too seriously and think the game perfect you pokémon fan fan open world games similar how monster hunter rise works then think this game worth taking look 
280,this probably the most unique entry into the pokemon series since its inception being able run around the world catching and running away from wild pokemon real treat and really gave the series fresh new spin can little weird times due the controls not being that fluid and can very clunky you trying switch specific item pokemon fight times but works very well the battle system similar but has its own quirks that separate from previous entries the lack abilities and held items now give type immunities such ground being immune electric and more importance these wild pokemon can have very high stats for their levels especially alpha pokemon who can overcome massive level advantage deal significant damage alot pokemon had unlearn alot standard pokemon battling tips that was not prepared for not bad per say but you might find yourself tough spot very quickly that level advantage you thought would make the difference for neutral pokemon who has special move that your pokemon weak too almost say this game would better experience for people not experienced with pokemon but recommend basically anyone who might interested the clunky controls and the usual poor framerate that comes with playing the switch aren too much hassle the end the day the game just fun and really hope they continue games like this the future 
281,break from standard tradition pokemon finally gets first truly open world game with plenty exploration and emphasis catching and researching pokemon the only downside could use some graphical polish 
282,lover pokémon but also someone who has grown tired the normal game format wasn even too excited when arceus was going released but usual got anyway because hoped would finally give the pokemon game was asking for and happy say really delivered having sunk hours into the game far still enjoying and for the first time since pokémon red actually want catch all this game perfect but the steps that game freak have taken bring pokémon into the current generation rpg are promising but saying that there still long way 
283,starts off little slow and the menus are mess also needs better story but the game play amazing love 
284,here have very good game with the twist gameplay been waiting for world interesting and progressive with the story but also gives you enough freedom you please very recommendable 
285,the best pokémon game least years could have better graphics but improvement over the past games 
286,this game solid probably the best pokemon game ever released the graphics are pretty sub par for 2022 but that stops mattering minutes into the game view haven had much fun playing new release quite while 
287,don believe the super low review scores from others that haven even played the game while there are issues legends arceus the biggest leap forward the franchise has seen yet resulting one the best games the franchise has offer 
288,the game really fun play addictive and has pleasant japanese vibe the introduction pretty long but not boring never been fan pokemon games but like this one because 3rd person has cute graphics and has interesting grind with quests but the game has its disadvantages lot people complain about graphics just fine and doesn disturb eyes the most awful thing the game opinion audio some sounds are way too junky compressed 
289,this game incredible been addicted since got remember kid playing outside with friends like were pokemon trainers pokemon legends arceus exactly what envisioned playing pokemon should like they seem have actually considered the kind game that people want when they think playing pokemon exploring finding them their natural habitats and everything just quick and fluid the gameplay loop explore catch rework team super refined and almost sad that didn get pokemon game like this much much earlier not all perfect though gamefreak simply doesn allocate nearly enough budget for their game development result this game visually looks like could have been the wii there was basically budget for cinematics and there much stuff that expressed text that characters are doing but just goes black screen because they didn actually animate that you know you think franchise that has one the most popular and long running series with would have the budget that not mention voice acting and orchestrated soundtrack which obviously they have for the series but enough the bad this game easily not only the pinnacle the series whole but game that nostalgia put aside deserves the records and accolades getting 
290,the most fun had playing pokemon game long time the graphics could have used more polish with more detail but overall isn bad the outrage over the ways encountering catching and battling seamless and intuitive and provide massive positive steps forward for the series future mainline pokemon games should look this game the bare minimum and baseline what should 
291,best pokemon game experience ever the quality life improvements new combat mechanics the open world areas the quest mission based progression reward system and the ability shift from exploration combat seamlessly truly make this breakthrough for the series 
292,everything said about the graphics true but you enjoy pokemon you are going love this game and spend hundreds hours 
293,great game never been this excited about playing pokemon since first played the third generation opinion this new formula should the future the franchise just didn give because believe the graphics little out date just little but that doesn affect the player experience all good job gamefreak 
294,the game uglybut great fun realy interesting and envolvingim loving itbut graphics 
295,graphics could better overall though the best foot forward gamefreak has had while great new mechanics and the flow gameplay incredible 
296,this surprisingly good the new gameplay loop really enjoyable feels amazing able explore the pokemon habitats being able quickly pick between pokemon and send them out whenever you want feels great gathering resources streamlined and doesn feel like chore the fact that battles take place the overworld and you don lose control your character also feels amazing and helps connecting the world and your team lot more the story also more developed and engaging than anything gamefreak has done the past some characters are bit too over the top but guess wouldn pokemon without that the presentation the biggest drawback the pokemon models look great and they are well animated the vfx also great you won disappointed with the way the moves look the textures however are absolutely horrible there lot pop and there this purple shader over everything for reason the frame rate also dips the mid twenties from time time especially during boss battles also voice acting which shame overall this the biggest step forward the franchise has ever made far the most enjoyable pokemon experience hope they bring much this possible into generation 
297,love what game freak tried with this gamethey need stop phasing out pokémon would add more variety 
298,didn expect much from just looking the previews the game thought would wait for critics come out didn expect succeed and yet did switch standards got the game one day after release and been addicted since then the core gameplay very fun very effective only complaints are that bit strange that you always have head back jubilife village before heading another zone also would love the combat perhaps just bit more interactive not that dislike the classical turn base stuff but maybe something paper mario esque hell even better like the tales series though that could asking for bit muchon the graphical side think people are bit harsh though compare this shin megami tensei the games run similar performance fps with the occasionnal stuter believe smtv looks better though not huge complaint here knowing the limitations the switch game still charming and doesn look too bad music great enjoying the themes game progression seems much more fast paced have never been huge fan the whole exp share thing but think they got right this time the game just seems more difficult that other pokemon games alpha pokemons aggro encounters writing this review with over hours for hope game freak build onto this further the pokémon franchise looking have great future finally wish they would had focused dev resources this and delayed bdsp years instead 
299,this game very fun whether you played any pokemon game before this the most important aspect for game and definitely delivers despite its flaws and subpar visuals that many are unhappy about 
300,good game pokemon pokemon game been looking forward since childhood 
301,this game shouldn even compared past titles this the most enjoyable experience had with pokémon game far say the best the franchise the battles styles make combat more complex and adds depth and welcome addition the story and gameplay breath fresh air breaking away from previous titles the moment opened the game and saw what this world had store for was grinning from ear ear having full control over the camera and having good camera that makes the game feel much better than sword and shields half baked wild area this game phenomenal and definitely worth try 
302,this game love letter those who enjoy pokemon and its lore don miss this game you are fan the games even with some comments that seen about the graphics and all the game runs fine coming from shin megami tensei which technical masterpiece its own pokémon legends arceus manages impress with the detail has for its fun mechanics and catch them all based nature one game not miss 
303,pokemon legends arceus without doubt the boldest and most ambitious entry the history the franchise setting out the beautiful region hisui this game caputres the same open air feeling nintendo was able achieve with breath the wild with emphasis capturing opposed battling this game takes all the best concepts let and combined them with their core franchise create truly unique experience all own the best element this bold new venture absolutely fantastic story while bit text heavy times this the first pokemon game gamefreak has made since black white with strong focus story and they without doubt knocked out the park with strong characters and emotional moments that moved unlike any pokemon game ever had before addition great story with fantastic characters the game absolutely beautiful and stunning explore sure the switch can only push graphics far and some the renders are far from perfect but the early hours playing found myself amazed and constantly thinking can believe this pokemon game the gameplay loop insanely addictive too explore capture explore more capture again and before you know you lost hours your life having blast with charming environments soothing music addictive gameplay and the exciting feeling encountering new pokemon very difficult not find yourself smiling every time you play could about the specific joys this game like the thrilling boss battles cutscenes increased shiny encounters crafting the thrill the hunt wonderful new hisuian forms and much more but keep brief possible this game feels like both the true return diamond pearl well the next big pokemon game all been waiting for have doubt this will serve the foundation for whole legends sub series and when think about this only being the beginning tremble with excitement think what can come next voice acting dare dream but for now back the wonderful addiction that pokemon legends arecus not perfect but beautiful start 
304,fun game havent had this much fun playing pokemon game years love the changes they made the only thing not fan the graphics seems abit plain either than that its very solid game 
305,best pokemon experience ever had far was everything always wanted and imagined the pokemon world one point from perfect for the terrible graphic 
306,finally feel pokémon back the right track legends arceus mix the new features from games like pokémon let pokémon sun moon and snap the main rpg gameplay that made the series success the result much more entertaining gameplay loop didn expect there many 242 pokémon species this game the visual great too the art style very charming and pick jagged lines over blurry vfx every time had the chance 
307,did pokemon give story where the point wasn become the best battler did pokemon aim make game that pleases all ages did pokemon revamp the battle system take different spin and did they incorporate boss fights the answer all these questions resounding yes wasn love with the game the start because expectations were low and the story straightforward and simple but while this game won earn any awards hidden gem that can confidently recommend any player who has ever had any interest pokemon the game blends pokemon snap with standard pokemon game adding strategic elements catching pokemon prosopportunities for strategywide arsenal things dosmooth gameplayconsthe graphics aren just below average can get the waylate game gets redundantwhen was playing botw couldn help but wish were pokemon game had little interest sneaking monsters kill them but the thought using the environment catch pokemon was thrilling had clue that game like legends arceus would come fruition that actually lot fun there always something earn money complete sidequests work the dex catch new pokemon strengthen your pokemon collect rare items and shiny hunt cannot stressed enough that you can switch activities whim that level cherrim trainer fought for literally game hours threw every kind ball the game got annoyed ran caught other pokemon succession and switched areas earn some money takes bit for you unlock every area but you can always return areas you unlocked strategy wise had the most fun playing this game than any other long time when went encounter flock ursaring each one was ten levels higher than strongest pokemon had try lure them out one time problem was luring them out too far lead interruptions from other pokemon like luxio luxray when finally managed isolate one they could still wipe team easily had develop strategy consistently defeat them was absolute blast and unexpected challenge fifty hours and the strategy remains however does get the point where you just chucking balls everything you see fill the dex minimizes the strategy the game and eliminates challenge and that impacts the fun love the font but the graphics really need attention not just rough around the edges there missed potential and there should more ways interact with the pokemon you caught literally work the graphics every department and you got something really special what makes this entry exciting the idea that pokemon might consider evolving from its roots something bigger and many people opinions including own something better definitely game worth reviewing 
308,this pokemon game better then the last like games not including ultra sun and moon that games post game and improvements made better game opinion this game opinion really fun for this game but for others can see being but you like pokemon want get into back into recommend this game the graphics are bad yeah but arent even that important nor will take from your experience this game its really addicting and definately worth playing 
309,the best pokemon game years completely tears the rules surrounding what pokemon game has and delivers fresh more logical take the series the story actually feels like some effort was put and the interactions with npcs are actually enjoyable this universe much more engaging people act like real people confronted with these terrifying creatures known pokemon actually feels like there point working the pokedex you educate people around the region what pokemon are this sudowoodo sad but plant maybe spraying with water pulse will help lol the battle system vastly improved well popping into battle much faster than the point that bet you play this and then back either those the first thing you notice also ability move around battle means during quick battles you can choose your attack and then start running before the battle even ends much fresher catching pokemon faster too you can catch them the normal way unless they run which happens lot you can sneak around and stealth his them with ball like the survivalist pokemon trainer you are the pokemon influence here works great imo makes you feel like pokemon are actually these wild creatures with habitats and temperaments finally just small thing but like how you can always run from battle never made sense that you couldn previous games outside these are the rules pokemon games arceus you just call you pokemon back and run away which much more realistic which sort encapsulates what like much about this game things just make way more sense within the context pokemon existing love and beg nintendo please make more this game very different from previous games though that may bother you although you one those people who like meme about pokemon making the same game year after year hope this doesn bother you cons the art really pretty but looks like the big screen just for basically nintendo hardware holding back what would undoubtedly better game was allowed spread its wings 
310,this genuinely the most fun have had playing pokemon game years get lost the wilds searching for new areas and alpha pokemon sidequests and satchels like all pokemon games parts the story itself are pretty predictable but there were aspects definitely didnt see coming genuinely loving this game far and glad see there still lots after the credits roll graphics could use some polishing the caves are pretty yeah but the graphics dont make the game for personally the gameplay feels smooth and love the different ride pokemon and crafting mechanics overall very fun game and hope they continue down this path 
311,finally something fresh gamefreak standards course hope they can really expand this type gameplay gen 
312,bad graphics but very good game lots new mechanics and changes the formular this the evolution pokemon needs edit now finished with the game and increasing the score from because the really awesome mounts swimming climbing and flying much fun 
313,this step the right direction loved this game after burning myself out with sword shield thought was done with pokemon games after ignoring but this game god had much fun 
314,honest review thought this game was going terrible held back from buying but recently bought after watching gameplay and fans loving played and was very surprised its the pokemon game all wanted 10years ago but never too late guess very addictive game ive thoroughly enjoyed much could easily sink 100 hours negatives for the lack online and the graphics voice acting and music also think the battle system needs move from turn based more free moving system but regardless all these faults has one the best pokemon games since gold silver for personally its step the right direction but has much improve honestly great game and anything sink 100hours high rating game 
315,first all don remember when was the last time enjoyed pokemon gsme this much hardcore pokefan this would game they mixed with the original formula miss gym battles elite four and even trainer battles don mind that not fully open world that could really overwhelming with lot pokemon and for the last come gamfreak put some effort the graphics the animations were cool the pokemon are cool but the terrain n64 
316,the game wanted for long the plot more mature and the world interesting finally story interested gameplay fun and make sense the story you have complete the pokedex and revive the village for reason that make sense the story grafic the reason score not still better than what tought but inferior compared other switch titles huge step the right direction for gamefreak can even forgive them for selling incomplete nerfed game with brilliant diamond shiny pearl 
317,the game would perfect wasn for the graphics also really slow start however past those two points they completely changed the game 
318,honestly what game this was completed the dex and everything that last boss fight agaisnt arceus was incredible and the final trainer battle was intense best pokemon game since gen and wasnt the same boring stale formula have had for the past years game not empty and full pokemon 
319,haven finished yet but played hours the first weekend the last time done that with game was probably kingdom hearts the ps2 this game doesn always look great but damn fun play actually fun catch pokemon again having blast alpha are fun mechanic they actually feel dangerous the game gets dark too actually mentioning death few times just hope they make this series because this damn cool had take point away for the graphics especially the water doesn look great but the pokemon themselves look great really don mind you kinda just forget about 
320,pokemon legends arceus interesting new take the pokemon series the game fun and well paced the cast characters are strong and interesting and the story satisfactory overall the world feels vibrant but some parts tend feel empty repetitive 
321,excellent game just needs voice acting coukd bever get into the older pokemon ganes because need game can walk around like this deffinatly reccomemded anyone who loves play adventure game with rog elements and anyone who loves pokemon this must buy 
322,definitely the best pokemon experience ever had literally the only issue have minor spoilers the ridable ursaluna sonic adventure had better mechanics for treasure hunting literally only used for the mission requirement and never touched again because how particular the controls are for 
323,hours around hours fun the game has terrible graphics you know everyone knows but also the sound design lackluster the story usual you need functional braincell understand but people enjoys minecraft the game amazing there many qols love you can catch every pokemon without needing someone else trade with you easily the best pokemon game you are fan you need try just wish there was more battling content 
324,finally have game that gamefreak have put some effort however does actually work minor spoilers you haven watched trailers warned first sitting sat there for hours straight giving this honest can put together fair review played all stream and said pros and cons there but here they are text for others read and decide they want purchase have now put hours can put together fair review overall yes this game worth and very impressed gamefreak took this risk and hope future games use this type system there are some things they could have done better which into first pokémon night could have more variety every map has the same pokémon night except few that are exclusive that map night most driffloons you find which annoying but during the day there variety each map only night lacking some side quests need some work they need more descriptive give you the maps name least some them give you quest where you have area but that name isn any map all someone would have mentioned the name but you have remember the map needs more little towns for immersivness you have people coming from other existing places your town however you never actually find those towns instead having random quests the maps pick you could have little towns you pick them from and then you could learn little more how those places operate the same time except you just hear all the places and never get see them which shame pokémon the wild could have behaviour characteristics get too close another pokémon they could argue with each other even fight have bidoofs collecting wood make dams beatifly landing trees and sucking the nectar just things give the pokémon more life they sleep night they don despawn and get replaced with night pokémon which does happen now why such great game system the open world style really suits this game and huge step forwards for the franchise being able choose try and catch pokémon right away battle great what even better being able move while battling this doesn anything but lets you look around and you annoy more than one pokémon you can end battling many enemies that are around you crafting now this actually lets you something with the open world style collect materials which you can find the ground get rewards for catching fainting pokemon you might think tedious thing but you don need craft you can just smash through the content however crafting does add little more for those that like this type thing collecting recipes and crafting those new recipe make fights easier the future mounts you can run fast break stuff swim fly and you can switch between them whenever you want with the pad and your currently your running mount and into water will automatically switch your swimming mount great addition gamefreak well done however wish you could actually fly around and fight flying pokémon the sky danger now you can actually faint from pokémon attacking you this could with being harder though very easy dodge pokémon attacks get away from them however the fear you actually fainting and loosing items you went out and crafted bought cool addition the game alpha pokémon are great addition too you can litterally throw your pokémon out anywhere and call them back you catch alpha pokémon you can compare size regular one you have choice either fight the wild pokémon catch them right off the bat even aggressive pokémon can approached with the correct items caught about alpha pokémon without battling them the side quests are both great and have their flaws the same time most the side quests have different styles quests have little story too them too but then around 5th side quests are just fill pokemons dex entry which too many opinion your planning finish all dex entries anyway you want the reward overall this game hard love that gamefreak went for risk and put much effort into new game rather than getting new 3ds game that slightly bigger map size this great direction for new pokémon games see this the botw the series this test see the audience enjoy this style game and then future will get more immersive maps maps will towns are going end having truly flawless game they continue this direction and don just use this style spin off games the future 
325,can say that the game has been really enjoyable far after hours game not game that breathtaking breath the wild but think that could steppingstone for the next pokemon game which might revolutionize its series game freak the right track give this for the fun had the way the graphic not that bad you don compare botw people just had way too high expectations for like expected this the botw level what the hell 
326,the most excited ever been see and catch zubat any pokémon game the new gameplay loop very addicting and there actual challenge catching some the pokémon and staying alive the only con have for this game the graphics can buggy times but mean what you expect from oversized cell phone bottom line the game very fun and holding interest compared the last mainline pokémon titles 
327,pokemon legends arceus amazing new direction for this series and honestly thousand times better than sword and shield were opinion sure enjoyed sword but legends amazing feels like pokemon meets breath the wild sort that maybe pokemon meets monster hunter rise with how you multiple massive and open areas explore and hunt things down also just much fun graphics look alright but they leagues better than sword and shield the gameplay solid and much more like what was hoping for when saw the original reveal trailer love this game but kinda tough avoid getting wrecked high level alpha pokemon you wander too far and would say least make save datas for pokemon let game sword shield and brilliant diamond shining pearl for some free clothing items and two bonus quests involving mythical pokemon the postgame and also fantastic that favorite starter pokemon cyndaquil starter this game but digress just pick the game for yourself and find out how good for yourself 
